"","geo","date","hits_Weather","State","Abrev","FIPS","year","month","hits_Forecast","hits_Temperature","hits_NOAA","hits_Dogs","hits_Headache"
"1","US-AK",2005-01-01,40,"Alaska","AK",2,"2005","01",41,14,24,55,0
"2","US-AK",2005-02-01,40,"Alaska","AK",2,"2005","02",60,58,25,69,0
"3","US-AK",2005-03-01,43,"Alaska","AK",2,"2005","03",21,36,10,85,0
"4","US-AK",2005-04-01,40,"Alaska","AK",2,"2005","04",8,41,12,66,75
"5","US-AK",2005-05-01,23,"Alaska","AK",2,"2005","05",15,25,33,30,0
"6","US-AK",2005-06-01,33,"Alaska","AK",2,"2005","06",32,41,24,66,0
"7","US-AK",2005-07-01,48,"Alaska","AK",2,"2005","07",0,0,57,84,0
"8","US-AK",2005-08-01,41,"Alaska","AK",2,"2005","08",7,13,22,50,0
"9","US-AK",2005-09-01,58,"Alaska","AK",2,"2005","09",62,35,50,18,63
"10","US-AK",2005-10-01,48,"Alaska","AK",2,"2005","10",18,10,18,33,0
"11","US-AK",2005-11-01,43,"Alaska","AK",2,"2005","11",26,32,28,60,59
"12","US-AK",2005-12-01,26,"Alaska","AK",2,"2005","12",6,62,9,42,0
"13","US-AK",2006-01-01,50,"Alaska","AK",2,"2006","01",16,62,23,28,0
"14","US-AK",2006-02-01,45,"Alaska","AK",2,"2006","02",16,37,24,37,50
"15","US-AK",2006-03-01,44,"Alaska","AK",2,"2006","03",29,49,29,59,0
"16","US-AK",2006-04-01,31,"Alaska","AK",2,"2006","04",10,52,15,48,47
"17","US-AK",2006-05-01,35,"Alaska","AK",2,"2006","05",10,17,45,28,0
"18","US-AK",2006-06-01,66,"Alaska","AK",2,"2006","06",49,37,32,44,0
"19","US-AK",2006-07-01,37,"Alaska","AK",2,"2006","07",40,8,29,54,46
"20","US-AK",2006-08-01,66,"Alaska","AK",2,"2006","08",37,8,47,56,43
"21","US-AK",2006-09-01,47,"Alaska","AK",2,"2006","09",59,46,33,43,0
"22","US-AK",2006-10-01,49,"Alaska","AK",2,"2006","10",21,43,37,40,0
